Px,Py,Pz,Qx,Qy,Qz,Qw
0.1458739787340164,0.181797593832016,-0.0581188313663005,-0.590430498123169,-0.312111496925354,0.3250837028026581,0.6695511341094971
0.0382450111210346,0.2300251573324203,0.0982559323310852,-0.1477433145046234,-0.0985526964068412,0.6319791674613953,0.7543616890907288
-0.5441997647285461,0.0188269019126892,-0.4293283224105835,0.3948052227497101,0.3591974079608917,0.5681396126747131,0.6263573169708252
0.0265362337231636,-0.0844896286725997,0.2493835836648941,-0.025884311646223,-0.5539758205413818,0.8312305808067322,0.0386841334402561
0.0049709435552358,0.0369611382484436,-0.1164126396179199,-0.5455974340438843,0.4148484170436859,-0.4407071471214294,0.579656183719635
-0.3503933250904083,-0.29100102186203,-0.4634493589401245,0.5922285914421082,-0.2479185461997985,-0.2714053094387054,0.7170361280441284
-0.0482113696634769,0.3081788420677185,0.2565572559833526,-0.1200429201126098,-0.3341812491416931,0.8798056840896606,0.3159975111484527
-0.2051264345645904,-0.0715707540512085,0.0326533690094947,-0.1016092523932457,0.2892158031463623,0.9494594931602478,0.0675010308623313
-0.6170289516448975,0.0658526197075843,0.7502954006195068,0.5835441946983337,0.773013710975647,-0.1989378780126571,-0.1494978964328766
-0.0146403983235359,-0.0318798646330833,-0.0147155551239848,-0.0221476648002862,-0.0106919202953577,0.4470842778682709,0.8941536545753479
0.1825217604637146,-0.1453131139278412,0.0904216095805168,0.8956477046012878,-0.3189526498317718,-0.1056431084871292,0.2914170622825622
-0.1702131927013397,-0.1594609767198562,0.2375542074441909,-0.0367960110306739,0.107981264591217,0.9278298616409302,-0.3551308512687683
0.0672505050897598,-0.247835636138916,-0.0718255043029785,0.5884844660758972,-0.2750563323497772,-0.3220086395740509,0.6887237429618835
-0.1274927854537964,0.0443251952528953,-0.5733221173286438,0.8109641075134277,0.4250257909297943,0.190578281879425,0.3540764451026916
-0.4908532798290252,-0.5753964185714722,0.522990345954895,0.8593736886978149,-0.4749964475631714,0.0895221680402755,-0.1668561995029449
0.0851791054010391,0.0345739871263504,0.1292254626750946,-0.1163680553436279,0.120060920715332,-0.6957231760025024,0.6985793113708496
0.2325693368911743,0.0181149840354919,0.0158685278147459,0.949708878993988,0.043744146823883,-0.009456168860197,-0.3099195063114166
